"HoldeplassID";"lat";"lon";"Jobbes med av";"Status";"Kommentar";
"14_1411482801";"60.96527";"4.9651113";"FredrikLindseth";"Ferdig";"eksisterte fra før, 150 m ved siden av. Flyttet det eksisterende.";
"10_12518206";"60.692874";"5.782257";"FredrikLindseth";"Ferdig";"";
"10_12518204";"60.691232";"5.784702";"FredrikLindseth";"Ferdig";"";
"10_12518203";"60.691059";"5.784692";"FredrikLindseth";"Ferdig";"";
"10_12518202";"60.678187";"5.795306";"FredrikLindseth";"Ferdig";"";
"12_04286624";"61.28005";"12.48475";"obtitus";"Ferdig";"";
"12_04286626";"61.29322";"12.475844";"obtitus";"Ferdig";"";
"12_04286630";"61.240067";"12.514129";"obtitus";"Ferdig";"";
"12_04286633";"61.24563";"12.506059";"obtitus";"Ferdig";"";
"6_18480106";"67.89349";"15.150284";"obtitus";"Ferdig";"la inn veien";
"6_18480092";"67.67473";"14.966025";"obtitus";"Ferdig";"la inn veien";
"6_18480090";"67.68972";"15.048457";"obtitus";"Ferdig";"la inn veien";
"6_18480089";"67.69906";"15.072214";"obtitus";"Ferdig";"la inn veien";
"6_18480088";"67.71149";"15.117451";"obtitus";"Ferdig";"la inn veien";
"6_18480087";"67.72084";"15.146378";"obtitus";"Ferdig";"la inn veien";
"6_18480082";"67.79333";"15.313242";"obtitus";"Ferdig";"la inn veien";
"6_18480081";"67.792114";"15.297801";"obtitus";"Ferdig";"la inn veien";
"6_18480084";"67.73872";"15.190686";"obtitus";"Ferdig";"la inn veien";
"6_18480011";"67.877266";"15.061248";"obtitus";"Ferdig";"la inn veien";
"6_18480010";"67.896835";"15.115019";"obtitus";"Ferdig";"la inn veien";
"6_18480021";"67.933174";"15.248559";"obtitus";"Ferdig";"la inn veien";
"6_18480008";"67.684265";"15.026892";"obtitus";"Ferdig";"la inn veien";
"6_18480060";"67.72146";"14.884854";"obtitus";"Ferdig";"la inn veien";
"6_18480038";"67.901855";"15.077245";"obtitus";"Ferdig";"la inn veien";
"6_18480037";"67.66547";"14.936086";"obtitus";"Ferdig";"la inn veien";
"6_18480036";"67.70519";"15.092158";"obtitus";"Ferdig";"la inn veien";
"6_18480045";"67.796104";"15.297652";"obtitus";"Ferdig";"la inn veien";
"6_18480040";"67.80126";"15.362527";"obtitus";"Ferdig";"la inn veien";
"14_1417479001";"61.038296";"6.2682943";"FredrikLindseth";"Ferdig";"Ett fergeleie";
"14_1420523301";"61.20864";"6.998822";"FredrikLindseth";"Ferdig";"";
"14_1420523302";"61.208633";"6.9986925";"FredrikLindseth";"Ferdig";"";
"14_1420523202";"61.207645";"7.0017157";"FredrikLindseth";"Ferdig";"";
"14_1420523201";"61.207672";"7.0017323";"FredrikLindseth";"Ferdig";"";
"14_1420523501";"61.210526";"6.9968596";"FredrikLindseth";"Ferdig";"";
"14_1420523502";"61.210506";"6.996786";"FredrikLindseth";"Ferdig";"";
"14_1420523402";"61.211773";"6.994211";"FredrikLindseth";"Ferdig";"";
"14_1420523401";"61.2118";"6.994228";"FredrikLindseth";"Ferdig";"";
"14_1420523701";"61.215466";"6.985987";"FredrikLindseth";"Ferdig";"";
"14_1420523702";"61.21543";"6.9859896";"FredrikLindseth";"Ferdig";"";
"14_1420523801";"61.215584";"6.984732";"FredrikLindseth";"Ferdig";"";
"14_1420523602";"61.21433";"6.989803";"FredrikLindseth";"Ferdig";"";
"14_1420523601";"61.21433";"6.989896";"FredrikLindseth";"Ferdig";"";
"14_1420524301";"61.217518";"6.9694867";"FredrikLindseth";"Ferdig";"";
"14_1420524002";"61.21686";"6.9771643";"FredrikLindseth";"Ferdig";"";
"14_1420524001";"61.21689";"6.9771996";"FredrikLindseth";"Ferdig";"";
"10_12410650";"60.260031";"5.861177";"FredrikLindseth";"Ferdig";"";
"10_12410651";"60.248768";"5.8654";"FredrikLindseth";"Ferdig";"";
"10_12410654";"60.258549";"5.861589";"FredrikLindseth";"Ferdig";"";
"10_12410652";"60.248803";"5.865505";"FredrikLindseth";"Ferdig";"";
"10_12410653";"60.258583";"5.861461";"FredrikLindseth";"Ferdig";"";
"10_12410640";"60.256281";"5.831372";"FredrikLindseth";"Ferdig";"";
"10_12411532";"60.251082";"5.881061";"FredrikLindseth";"Ferdig";"";
"14_1430270002";"61.32725";"5.9023137";"FredrikLindseth";"Ferdig";"";
"14_1430270001";"61.327435";"5.9020896";"FredrikLindseth";"Ferdig";"";
"14_1429172301";"61.272457";"5.645679";"FredrikLindseth";"Ferdig";"";
"14_1429172302";"61.272457";"5.6456976";"FredrikLindseth";"Ferdig";"";
"14_1412825301";"61.17676";"4.6952214";"FredrikLindseth";"Ferdig";"";
"14_1412827101";"61.107372";"4.72697";"FredrikLindseth";"Ferdig";"";
"14_1412826501";"61.13835";"4.7921453";"FredrikLindseth";"Ferdig";"";
"14_1412826801";"61.123558";"4.732774";"FredrikLindseth";"Ferdig";"";
"14_1412827701";"61.091053";"4.7420993";"FredrikLindseth";"Ferdig";"";
"10_12635918";"60.696265";"5.202857";"FredrikLindseth";"Ferdig";"";
"14_1417766201";"61.084156";"6.3150167";"FredrikLindseth";"Ferdig";"Ett fergeleie";
"14_1417767801";"61.069855";"6.376114";"FredrikLindseth";"Ferdig";"Ett fergeleie";
"14_1417768401";"61.05014";"6.4060006";"FredrikLindseth";"Ferdig";"Ett fergeleie";
"14_1428115001";"61.455376";"5.168818";"FredrikLindseth";"Ferdig";"";
"14_1428115002";"61.455364";"5.1688004";"FredrikLindseth";"Ferdig";"";
"10_12531830";"60.498721";"5.509222";"FredrikLindseth";"Ferdig";"Jeg la inn busstoppet, men det var rett ved en eksisterende vei.";
"10_12532636";"60.491315";"5.521973";"FredrikLindseth";"Ferdig";"Jeg la inn busstoppet, men det var rett ved en eksisterende vei.";
