"HoldeplassID";"lat";"lon";"Jobbes med av";"Status";"Kommentar";
"14_1411821001";"60.952007";"4.8088264";"";"";"";
"6_18200060";"65.86461";"12.170567";"";"";"";
"3_17033170";"64.58704";"11.223105";"";"";"";
"4_16335237";"64.32911";"10.417335";"";"";"";
"4_16335238";"64.32361";"10.387301";"";"";"";
"4_16335236";"64.33411";"10.427773";"";"";"";
"13_20124900";"70.262665";"22.614681";"";"";"";
"13_20124008";"70.33845";"22.831362";"";"";"";
"6_18680079";"68.80337";"14.775119";"";"";"";
"6_18680081";"68.80349";"14.840486";"";"";"";
"6_18680082";"68.79247";"14.865565";"";"";"";
"6_18680086";"68.81624";"14.898896";"";"";"";
"6_18680083";"68.78455";"14.895388";"";"";"";
"5_08171260";"59.12385";"8.992995";"";"";"";
"5_08171270";"59.13284";"8.980465";"";"";"";
"5_08171070";"58.91619";"9.152244";"";"";"";
"11_0631021601";"59.91806";"9.40125";"";"";"";
"11_0631022301";"59.913097";"9.392016";"";"";"";
"13_20234200";"70.61813";"27.664343";"";"";"";
"13_20234000";"70.71583";"28.07562";"";"";"";
"3_17253590";"64.14521";"11.2338295";"";"";"";
"3_17193664";"63.593163";"10.916621";"";"";"";
"3_17193689";"63.61292";"11.23836";"";"";"";
"3_17193680";"63.644352";"11.09794";"";"";"";
"3_17193687";"63.618397";"11.193388";"";"";"";
"3_17192876";"63.688328";"11.1338215";"";"";"";
"6_18360089";"66.55774";"12.835735";"";"";"";
"6_18360093";"66.61482";"12.990654";"";"";"";
"6_18360095";"66.57929";"12.980853";"";"";"";
"6_18360090";"66.594475";"12.658868";"";"";"";
"6_18360045";"66.594406";"12.658174";"";"";"";
"6_18360049";"66.533005";"13.03138";"";"";"";
"6_18360052";"66.76008";"12.474667";"";"";"";
"6_18360013";"66.5582";"12.836822";"";"";"";
"6_18360029";"66.574394";"12.979053";"";"";"";
"6_18360026";"66.61482";"12.990654";"";"";"";
"6_18360036";"66.579895";"12.934352";"";"";"";
"6_18040301";"67.071915";"14.97553";"";"";"";
"6_18040353";"67.30518";"13.729608";"";"";"";
"6_18040355";"67.40549";"13.901096";"";"";"";
"6_18040357";"67.42714";"13.976223";"";"";"";
"13_20303315";"69.68567";"30.3951";"";"";"";
"4_16175787";"63.63088";"8.897531";"";"";"";
"6_18320191";"66.139114";"14.055625";"";"";"";
"6_18320198";"66.20761";"13.57363";"";"";"";
