"HoldeplassID";"lat";"lon";"Jobbes med av";"Status";"Kommentar";
"12_04286708";"61.190613";"12.486662";"obtitus";"ugyldig";"ligger allerede ved vei";
"12_04286709";"61.191193";"12.481271";"obtitus";"ugyldig";"ligger allerede ved vei";
"12_04286705";"61.174145";"12.5226";"obtitus";"ugyldig";"ligger allerede ved vei";
"12_04286706";"61.179787";"12.511895";"obtitus";"ugyldig";"ligger allerede ved vei";
"12_04286707";"61.188602";"12.492118";"obtitus";"ugyldig";"ligger allerede ved vei";
"12_04286700";"61.151485";"12.550496";"obtitus";"ugyldig";"ligger allerede ved vei";
"12_04286702";"61.144005";"12.534856";"obtitus";"ugyldig";"ligger allerede ved vei";
"12_04286703";"61.16674";"12.527355";"obtitus";"ugyldig";"ligger allerede ved vei";
"15_0517011801";"61.82741";"9.392212";"FredrikLindseth";"ugyldig";"Det var et eksisternde busstopp der med mye fin info, men ingen vær i nærheten. La til vei, ikke busstopp";
"15_0517011802";"61.8275";"9.392288";"FredrikLindseth";"ugyldig";"Det var et eksisternde busstopp der med mye fin info, men ingen vær i nærheten. La til vei, ikke busstopp";
"12_07420048";"59.883884";"12.298332";"obtitus";"ugyldig";"Sverrige, midt i godt kartlagt område";
"12_07425735";"59.879436";"12.289721";"obtitus";"ugyldig";"Sverrige, midt i godt kartlagt område";
"13_31030003";"69.14837";"27.1019";"obtitus";"ugyldig";"Ser ut til å være i Finland rett ved en vei. Hvis dette er WGS84 projeksjon";
"3_17563049";"63.70578";"0.1026136";"obtitus";"ugyldig";"midt på havet";
